Адрес,Широта,Долгота
"143900, Московская обл., г. Балашиха, ш. Энтузиастов, д. 48",0.0,0.0
"600027, Владимирская обл., г. Владимир, Суздальский пр-т, д. 28",0.0,0.0
"248033, Калужская обл., г. Калуга, ул. Генерала Попова, зд. 1А",0.0,0.0
"142181, Московская обл., г. Подольск, мкрн Климовск, ул. Молодежная, д. 11",0.0,0.0
"108814, г. Москва, поселение Сосенское, пос. Коммунарка, ул. Александры Монаховой, д. 61, стр. 1",0.0,0.0
"141080, Московская обл., г. Королев, ул. Коммунальная, д. 1",0.0,0.0
"111625, Москва, ТЦ Город Косино, ул. Новоухтомское шоссе 2А",0.0,0.0
"140054, Московская обл., г. Котельники, Новорязанское ш., д. 24",0.0,0.0
"143082, г. Москва, Новорижское ш., 22‑й км, вл. 1, стр. 1",0.0,0.0
"127282, г. Москва, м. Медведково, ул. Широкая, 2а",0.0,0.0
"143081, Московская обл., Одинцовский г.о., Юдино с., д. 55Е",0.0,0.0
"141206, Московская обл., Пушкинский р-н, г. Пушкино, Красноармейское ш., вл. 105",0.0,0.0
"390507, Рязанская обл., Рязанский р-н, с. Дядьково, д. 1",0.0,0.0
"108811, г. Москва, Киевское ш., 23-й км, д. 1",0.0,0.0
"170043, Тверская обл., г. Тверь, Октябрьский пр-т, д. 101",0.0,0.0
"300045, Тульская обл., Ленинский р-н, с/п Ильинское, с. Осиновая гора, ул. Аркадия Шипунова, мкрн Левобережный, д. 1А",0.0,0.0
"141109, Московская обл., г. Щелково, Пролетарский пр-т, д. 18",0.0,0.0
"142451, Московская обл., г.о. Электросталь, пос. Случайный, массив 1, стр. 2",0.0,0.0
"150518, Ярославская обл., Ярославский р-н, пос. Красный бор, стр. 1",0.0,0.0
