Адрес,Широта,Долгота
"ул. 15-я Парковая, д. 40, к. 1",0.0,0.0
"ул. 1-я Останкинская, д. 55",0.0,0.0
"ул. 2-я Владимирская, д. 59/39",0.0,0.0
"ул. 2-я Мелитопольская, д. 3A",0.0,0.0
"пер. 3-й Митинский, д. 3",0.0,0.0
"ул. 3-я Хорошёвская, д. 27, к. 3",0.0,0.0
"ул. 7-я Кожуховская, д. 9",0.0,0.0
"ул. 800-летия Москвы, д. 11",37.5459374,55.8782395
"ул. 9-я Парковая, д. 68, корп. 5",0.0,0.0
"ул. Адмирала Лазарева, д. 62",37.5452165,55.5467993
"ул. Академика Капицы, д. 28",37.5165115,55.6284305
"ул. Академика Королева, д. 8, лит. А",0.0,0.0
"ш. Алтуфьевское, д. 80",37.5869881,55.8937876
"ул. Амурская, д. 1, к. 3, А",0.0,0.0
"пр-д Анадырский, д. 63, лит. А",0.0,0.0
"пер. Ангелов, д. 6",37.3501339,55.8528721
"ул. Армавирская, д. 5",39.0081038,45.0522302
"пр-д Батайский, д. 69",0.0,0.0
"ул. Бауманская, д. 32, стр. 2",0.0,0.0
"ул. Белозерская, д. 11Г",0.0,0.0
"ул. Беломорская, д. 16, А",0.0,0.0
"пр-д Берингов, д. 3, стр. 6",0.0,0.0
"пер. Берников, д. 2",37.6500373,55.7483483
"ул. Бибиревская, д. 10, к. 2",0.0,0.0
"ул. Бойцовая, д. 2/30",0.0,0.0
"ул. Большая Академическая, д. 17",37.5305387,55.8284546
"ул. Большая Почтовая, д. 28",37.6965193,55.7813963
"ул. Большая Черемушкинская, д. 1",37.5894877,55.6823105
"ул. Большие Каменщики, д. 6, к. 1",0.0,0.0
"ул. Борисовские пруды, д. 14, к. 5",0.0,0.0
"ул. Борисовские пруды, д. 26, к. 2",0.0,0.0
"ш. Боровское, д. 37, корп. 2",0.0,0.0
"ул. Братиславская, д. 30",46.0338922,51.5481168
"пр. Будённого, д. 18, лит. Б",0.0,0.0
"ул. Бутырский вал, д. 28",37.5859885,55.7807837
"пр-д Валдайский , д. 8",0.0,0.0
"ш. Варшавское, д. 168",0.0,0.0
"б-р Веласкеса, д. 3",0.0,0.0
"пр. Вернадского, д. 25",28.5128011,49.2131395
"ул. Веселая, д. 2",77.0800298,43.8668794
"ул. Вешняковская, д. 13А",0.0,0.0
"ул. Винокурова, д. 4, к. 1",0.0,0.0
"пр. Волгоградский, д. 177, стр. 1",0.0,0.0
"пр-т Волгоградский, д. 73, стр. 1",0.0,0.0
"б-р Волжский, квартал 114А, к. 10",0.0,0.0
"ул. Воронежская, д. 7",42.1414956,47.4958453
"ул. Гарибальди, д. 4, лит. Г",0.0,0.0
"ул. Генерала Белобородова, д. 17-19",0.0,0.0
"ул. Генерала Белова, д. 35",40.9447945,56.9813343
"ул. Генерала Белова, д. 59",41.3864803,56.8475867
"ул. Генерала Тюленева, д. 4А, стр. 3",0.0,0.0
"ул. Гурьянова, д. 2, А",0.0,0.0
"ул. Дегунинская, д. 13",37.5360477,55.8654839
"ш. Дмитровское, д. 116, Д",0.0,0.0
"ш. Дмитровское, д. 98",30.39711,47.662472
"ш. Дмитровское, д. 101, к. 1",0.0,0.0
"ш. Дмитровское , д. 113, корп. 1",0.0,0.0
"ул. Домодедовская, д. 26",37.7109391,55.6071365
"ул. Дубки, д. 2",37.9021186,55.2614661
"ул. Дубнинская, д. 12, корп. 3",0.0,0.0
"ул. Дудинка, д. 2, к. 1",0.0,0.0
"пер. Духовской, д. 16",37.6196806,55.7059785
"б-р Есенинский, д. 1/26, к. 1",0.0,0.0
"ул. Живописная, д. 12, корп. 1",0.0,0.0
"пр-т Зеленый, д. 24, стр. 1",0.0,0.0
"ул. Зои и Александра Космодемьянских, д. 23",37.5296297,55.8257279
"ул. Ивана Франко, д. 38, к. 1",0.0,0.0
"пл. Измайловская, д. 8",37.7759552,55.7940227
"б-р Измайловский, д. 60/10",0.0,0.0
"пр-д Измайловский , д. 3, стр. 2",0.0,0.0
"ш. Измайловское, д. 6",37.731096,55.779206
"ул. Изюмская, д. 36",37.55945,55.5531773
"ул. Исаковского, д. 6, корп. 2",0.0,0.0
"б-р Кавказский , 17",47.14640549559231,42.843468349999995
"ул. Кантемировская, д. 17, к. 1",0.0,0.0
"ул. Кантемировская, д. 20, корп. 1",0.0,0.0
"ш. Каширское, д. 65, к. 3",0.0,0.0
"ул. Кировоградская, д. 9",33.21455817900217,49.03678925
"ул. Ключевая, д. 8",69.1557705,52.9137458
"пер. Колодезный, д. 3",50.2057546,53.1997829
"ул. Коминтерна, д. 15",41.6300377,55.3344482
"пл. Комсомольская, д. 2",39.7001306,47.237111
"пл. Комсомольская, д. 2",39.7001306,47.237111
"пл. Комсомольская, д. 6",0.0,0.0
"ул. Красная Пресня, д. 23, к. Б, стр. 1",0.0,0.0
"ул. Красная Сосна, д. 3",37.6804511,55.8508081
"ул. Краснобогатырская, д. 23",37.7143936,55.7980738
"ул. Краснобогатырская, д. 13",37.7143936,55.7980738
"ул. Красного маяка, д. 9",40.2422331,54.3247109
"ул. Краснодарская, д. 57, к. 1",42.1424813,47.493091
"ул. Красных Зорь, д. 19",39.1575149,51.6732508
"ш. Ленинградское, д. 58, к. 26",0.0,0.0
"пр. Ленинский , 123, В",0.0,0.0
"пр-т Ленинский , д. 74",0.0,0.0
"пр. Лермонтовский, д. 10, к. 1",0.0,0.0
"ул. Летчика Бабушкина, д. 24",37.6712067,55.8509887
"ул. Линия Октябрьской ж/д, д. 2, к. 2",0.0,0.0
"ул. Лобненская, д. 14",37.5274638,55.8913301
"ул. Люблинская , д. 59",44.4195969,48.602547
"ул. Маломосковская, д. 14",37.6507958,55.8129663
"ул. Маршала Василевского, д. 17",36.058585,56.8982933
"пр. Маршала Жукова, д. 42, к. 1",0.0,0.0
"ул. Менжинского, д. 32",20.4901118,54.7268087
"ул. Миклухо-Маклая, д. 36А",0.0,0.0
"ул. Митинская, д. 53",37.3703496,55.84245
"ул. Митинская, д. 29",37.3703496,55.84245
"ул. Михалковская, д. 28",37.533154,55.8379707
"ул. Михалковская, д. 6",37.5280865,54.1737839
"пр. Мичуринский, д. 4, к. 3",0.0,0.0
"ш. Можайское, д. 39",37.433645,55.7210908
"ул. Молостовых, д. 1А",37.8326576,55.7665886
"ул. Молостовых, д. 13, к. 1",0.0,0.0
"ул. Народного ополчения, д. 29, стр. 1",0.0,0.0
"ул. Народного Ополчения, д. 28, корп. 1",0.0,0.0
"пр. Нахимовский , д. 30/43",0.0,0.0
"ул. Новодмитровская, д. 2, к. 1",0.0,0.0
"ул. Новочеремушкинская, д. 53А",0.0,0.0
"б-р Новочеркасский, д. 41, к. 4",0.0,0.0
"б-р Новочеркасский, д. 20, корп. 1",0.0,0.0
"ул. Обручева, д. 55, лит. А",0.0,0.0
"наб. Овчинниковская , 22/24, стр. 1",0.0,0.0
"ул. Озерная, д. 42",35.0647273,58.7061789
"б-р Ореховый, д. 22А",0.0,0.0
"ш. Остафьевское, д. 12, к.1",0.0,0.0
"ул. Отрадная, д. 7",39.05554710868469,45.142426349999994
"ул. Павла Корчагина, д. 3А",48.031445649999995,46.3087723
"ул. Перовская, д. 32, стр. 1",0.0,0.0
"пр-д Погонный, д. 1, к. 11",0.0,0.0
"ул. Подольских Курсантов, д. 10",37.5434274,55.4162958
"наб. Пресненская, д. 10, стр. 2",0.0,0.0
