Адрес,Широта,Долгота
"1ая Дубровская, 13А стр. 1, Москва, 115088",0.0,0.0
"Складочная, 1 стр. 1, Москва, 127018",37.5963818,55.7987262
"улица Шоссейная, 2Б, Москва, 109548",0.0,0.0
"проспект Мира, 211, стр.1, Москва, 129226",0.0,0.0
"улица Дорожная, д. 1, корп. 1, Москва, 117545",0.0,0.0
"Рябиновая, 59, Москва, 121471",37.43176532874962,55.6857898
"Маршала Прошлякова, 14, Москва, 123458",37.388633061824834,55.791092750000004
"104 км МКАД, 6, Москва, 105523",0.0,0.0
"Ленинградское шоссе, 71Г, Москва, 125445",37.44716301604343,55.875895
"Новорязанское шоссе, 5, Московская обл., г. Котельники, 140053",0.0,0.0
"Дмитровское, 165Б, Москва, 127204",37.5477118,55.9312558
"Боровское шоссе, 10А, Москва, 119634",37.3530766,55.6384593
"г. Москва, п.Московский, кв-л 34, д.3, стр. 1, 7, Москва, 108811",0.0,0.0
"Новорязанского шоссе 23-й км, уч. 17, Московская обл., Люберецкий р-н, Томилино рп, 140072",0.0,0.0
"владение 8, МО, Ленинский район, пос. совхоза им. Ленина, 142715",0.0,0.0
"Советская , 60, МО, г. Балашиха, мкр. Железнодорожный, 143987",0.0,0.0
"Горки Киовские, владение 15, Московская область, г. Лобня, 141733",0.0,0.0
"Торгово-Промышленная, 5 (с.п. Луневское), Московская обл., Солнечногорский район, д. Черная грязь, 141580",0.0,0.0
"35 км Минского шоссе, 2, Московская область, Одинцовский р-н, д. Ликино,35 км Минского ш., д. 2, 143020",0.0,0.0
"42 км. автомагистрали М-2-""Крым"", 1. стр.1, д. Коледино, 142181",0.0,0.0
