Адрес,Широта,Долгота
"г. Москва, Варшавское ш., д. 140",0.0,0.0
"г. Москва, Головинское ш., д. 5",0.0,0.0
"г. Москва, 84-й км МКАД, пересечение с Алтуфьевским шоссе",0.0,0.0
"г. Москва, Дмитровское ш., д. 163а",0.0,0.0
"г. Москва, Каширское ш., д. 14",0.0,0.0
"Московская обл., г. Мытищи, ул. Мира, д. 51",0.0,0.0
"Московская обл., 71 км МКАД, Путилково",0.0,0.0
"г. Москва, Пятницкое ш., 7-й км, вл. 2",0.0,0.0
"г. Москва, Ленинский пр., 101",0.0,0.0
"г. Москва, пр. Мира, д. 211",0.0,0.0
"г. Москва, Святоозёрская улица, 1A",0.0,0.0
