Адрес,Широта,Долгота
"Москва, Охотный ряд, г. Москва, Улица Охотный Ряд, д. 2",0.0,0.0
"Полянка, г. Москва, Улица Большая Полянка, д. 28, корп. 1",0.0,0.0
"Добрынинский, г. Москва, Улица Коровий Вал, д. 1",0.0,0.0
"Москва Новый арбат 15 (Москвичка), г. Москва, Улица Новый Арбат, д. 15",0.0,0.0
"Шаболовка, г. Москва, Улица Шаболовка, д. 10К1",0.0,0.0
"Олимпик Плаза, г. Москва, Проспект Мира, д. 33, корп. 1",0.0,0.0
"Новослободская, г. Москва, Новослободская Улица, д. 4",0.0,0.0
"Протопоповский, г. Москва, Протопоповский Переулок, д. 3",0.0,0.0
"Люсиновская, г. Москва, Люсиновская Улица, д. 70С1",0.0,0.0
"Литератор, г. Москва, Льва Толстого, д. 23, корп. 1",0.0,0.0
"Тихвинская, г. Москва, Тихвинская, д. 3, корп. 1",0.0,0.0
"Тишинская, г. Москва, Тишинская Площадь, д. 1, стр. 1",0.0,0.0
"Атриум, г. Москва, Улица Земляной Вал, д. 33",0.0,0.0
"Гастроном Таганский, г. Москва, Марксистская Улица, д. 1",0.0,0.0
"Сущевский вал, г. Москва, Улица Сущёвский Вал, д. 46",0.0,0.0
"Большая Тульская, г. Москва, Большая Тульская Улица, д. 2",0.0,0.0
"Тихвинская 17, г. Москва, Тихвинская Улица, д. 17, стр. 1",0.0,0.0
"Шереметьевская 6, г. Москва, Шереметьевская Улица, д. 6, корп. 1",0.0,0.0
"Крестовский, г. Москва, Проспект Мира, д. 92, стр. 2",0.0,0.0
"Усачева 2, г. Москва, Усачёва Ул, д. 2, стр. 1",0.0,0.0
"Столярный-универсам, г. Москва, Столярный Переулок, д. 3, корп. 6",0.0,0.0
"Пролетарская П-МИНИ-24, г. Москва, 3-Й Крутицкий Переулок, д. 18",0.0,0.0
"СМ Даниловская Мануфактура, г. Москва, Варшавское, д. 9, корп. 1, стр. Б",0.0,0.0
"Киевская, г. Москва, Площадь Киевского Вокзала, д. 2",0.0,0.0
"Дорогомиловская, г. Москва, Большая Дорогомиловская Улица, д. 8",0.0,0.0
"Вулкан , г. Москва, Волгоградский Проспект, д. 1",0.0,0.0
"Краснопрудная, г. Москва, Краснопрудная Улица, д. 13, корп. А",0.0,0.0
"Нижегородская, Москва, г. Москва, Нижегородская Улица, д. 2, корп. 1",0.0,0.0
"Б.Новодмитровская, 7к, г. Москва, Большая Новодмитровская Улица, д. 23, стр. 3",0.0,0.0
"Волгоградский, 18, г. Москва, Волгоградский Проспект, д. 18С1",0.0,0.0
"Волочаевская, г. Москва, Волочаевская Улица, д. 12Ас1",0.0,0.0
"Монарх, Москва, Ленинградский проспект, 31А",37.5605959,55.7835169
"Варшавка 26, г. Москва, Варшавское Шоссе, д. 26, стр. 5",0.0,0.0
"Ладожская, Москва, г. Москва, Ладожская Улица, д. 13",0.0,0.0
"Маломосковская 20, Москва, г. Москва, Маломосковская Улица, д. 20, стр. 1",0.0,0.0
"Русаковская 31, Москва, г. Москва, Русаковская Улица, д. 31",0.0,0.0
"ТЦ «Арена Плаза», Москва, г. Москва, Ленинградский Проспект, д. 36",0.0,0.0
"Шмитовский, г. Москва, Шмитовский Проезд, д. 16, корп. 2",0.0,0.0
"Театральная, г. Москва, Театральная Аллея, д. 3, стр. 1",0.0,0.0
"Мегаполис, Москва, г. Москва, Проспект Андропова, д. 8",0.0,0.0
"Башиловский, г. Москва, Тимирязевская Улица, д. 2/3",0.0,0.0
"Кибальчича, г. Москва, Улица Кибальчича, д. 12, корп. 2",0.0,0.0
